出会い	であい
出来事	できごと
書店	しょてん
小屋	こや
上京	じょうきょう
食品	しょくひん
食料	しょくりょう
真っ赤	まっか
親しい	したしい
親友	しんゆう
人工	じんこう
図	ず
世の中	よのなか
世間	せけん
正午	しょうご
生地	きじ
青年	せいねん
切れる	きれる
先ず	まず
前者	ぜんしゃ
足る	たる
多少	たしょう
体重	たいじゅう
貸し	かし
代金	だいきん
代理	だいり
台	だい
大家	おおや
大会	たいかい
大使	たいし
題	だい
知事	ちじ
地	ち
地下	ちか
地方	ちほう
中止	ちゅうし
中心	ちゅうしん
注文	ちゅうもん
注目	ちゅうもく
度	たび
土地	とち
動かす	うごかす
動作	どうさ
同一	どういつ
特急	とっきゅう
入場	にゅうじょう
年代	ねんだい
売れる	うれる
発	はつ
発見	はっけん
発行	はっこう
病	やまい
不安	ふあん
不運	ふうん
不正	ふせい
不足	ふそく
父親	ちちおや
分野	ぶんや
文	ぶん
文字	もじ
別れ	わかれ
歩道	ほどう
母親	ははおや
味わう	あじわう
味方	みかた
目立つ	めだつ
野	の
有料	ゆうりょう
用いる	もちいる
用心	ようじん
立ち止まる	たちどまる
立ち上がる	たちあがる
立場	たちば
旅	たび
料金	りょうきん
力	りょく
話題	わだい
一家	いっか
姉妹	しまい
主人	しゅじん
少女	しょうじょ
注ぐ	そそぐ
転ぶ	ころぶ
空く	すく
足元	あしもと
言う	ゆう
思い出	おもいで
少々	しょうしょう
銀	ぎん
少なくとも	すくなくとも
建つ	たつ
出会う	であう
計る	はかる
昼食	ちゅうしょく
広がる	ひろがる
広げる	ひろげる
お昼	おひる
不	ふ
者	しゃ
元	もと
安定	あんてい
委員	いいん
易い	やすい
育つ	そだつ
一流	いちりゅう
引退	いんたい
羽	はね
営業	えいぎょう
横切る	よこぎる
横断	おうだん
王子	おうじ
王様	おうさま
屋根	やね
温度	おんど
化学	かがく
加える	くわえる
加わる	くわわる
家具	かぐ
火曜	かよう
会合	かいごう
会費	かいひ
回す	まわす
回転	かいてん
絵画	かいが
外交	がいこう
確かめる	たしかめる
確実	かくじつ
学期	がっき
額	がく
活気	かっき
活動	かつどう
活用	かつよう
感じ	かんじ
感じる	かんじる
感情	かんじょう
感心	かんしん
感動	かんどう
観客	かんきゃく
観光	かんこう
丸	まる
岸	きし
岩	いわ
期間	きかん
期待	きたい
気温	きおん
記事	きじ
記者	きしゃ
記入	きにゅう
記録	きろく
逆	ぎゃく
逆らう	さからう
休息	きゅうそく
急速	きゅうそく
求める	もとめる
旧	きゅう
強調	きょうちょう
教科書	きょうかしょ
禁止	きんし
金額	きんがく
金庫	きんこ
金曜	きんよう
区別	くべつ
苦しい	くるしい
苦しむ	くるしむ
苦手	にがて
計算	けいさん
欠ける	かける
欠点	けってん
決心	けっしん
決定	けってい
月曜	げつよう
県	けん
言語	げんご
語る	かたる
公平	こうへい
向く	むく
向け	むけ
向ける	むける
幸い	さいわい
幸福	こうふく
高速	こうそく
号	ごう
合わせる	あわせる
合計	ごうけい
合図	あいず
国王	こくおう
黒板	こくばん
今回	こんかい
根	ね
混ぜる	まぜる
才能	さいのう
作物	さくもつ
参加	さんか
残り	のこり
思想	しそう
指す	さす
指導	しどう
試し	ためし
試す	ためす
事実	じじつ
事情	じじょう
時期	じき
自身	じしん
自然	しぜん
式	しき
実	み
実は	じつは
実験	じっけん
実行	じっこう
取り出す	とりだす
取り消す	とりけす
取り上げる	とりあげる
取れる	とれる
守る	まもる
手術	しゅじゅつ
手伝い	てつだい
首相	しゅしょう
首都	しゅと
受け取る	うけとる
州	しゅう
終える	おえる
集会	しゅうかい
集中	しゅうちゅう
宿	やど
出身	しゅっしん
書物	しょもつ
書類	しょるい
助かる	たすかる
助ける	たすける
助手	じょしゅ
女王	じょおう
勝負	しょうぶ
商売	しょうばい
商品	しょうひん
小麦	こむぎ
消費	しょうひ
場面	ばめん
常に	つねに
植物	しょくぶつ
食物	しょくもつ
新た	あらた
身	み
身長	しんちょう
身分	みぶん
進める	すすめる
進学	しんがく
進歩	しんぽ
人物	じんぶつ
人類	じんるい
数える	かぞえる
数字	すうじ
正確	せいかく
正式	せいしき
正直	しょうじき
生き物	いきもの
生物	せいぶつ
生命	せいめい
実に	じつに
石炭	せきたん
石油	せきゆ
選手	せんしゅ
前進	ぜんしん
全	ぜん
全く	まったく
全員	ぜんいん
全身	ぜんしん
全体	ぜんたい
全力	ぜんりょく
組み立てる	くみたてる
組む	くむ
組合	くみあい
相手	あいて
相当	そうとう
息	いき
速度	そくど
太陽	たいよう
身体	しんたい
体温	たいおん
対	たい
代表	だいひょう
単なる	たんなる
単に	たんに
単語	たんご
断る	ことわる
知能	ちのう
地球	ちきゅう
地区	ちく
地点	ちてん
地面	じめん
中央	ちゅうおう
調子	ちょうし
長期	ちょうき
長所	ちょうしょ
直ちに	ただちに
追う	おう
通じる	つうじる
通す	とおす
通学	つうがく
通知	つうち
低下	ていか
的	てき
鉄	てつ
鉄道	てつどう
伝わる	つたわる
電池	でんち
登山	とざん
都会	とかい
都市	とし
土曜	どよう
当たり前	あたりまえ
当たる	あたる
当てる	あてる
当てはまる	あてはまる
当時	とうじ
等しい	ひとしい
同様	どうよう
道路	どうろ
特定	とくてい
日光	にっこう
日曜	にちよう
能力	のうりょく
農家	のうか
農業	のうぎょう
波	なみ
馬	うま
配る	くばる
発表	はっぴょう
発明	はつめい
犯人	はんにん
番目	ばんめ
悲しむ	かなしむ
皮肉	ひにく
費	ひ
費用	ひよう
飛ばす	とばす
飛び出す	とびだす
美人	びじん
氷	こおり
表	ひょう
表情	ひょうじょう
表面	ひょうめん
秒	びょう
不幸	ふこう
不自由	ふじゆう
不満	ふまん
部	ぶ
部分	ぶぶん
物語	ものがたり
物事	ものごと
物質	ぶっしつ
物理	ぶつり
分類	ぶんるい
文明	ぶんめい
平ら	たいら
平気	へいき
平等	びょうどう
平和	へいわ
辺り	あたり
放す	はなす
方向	ほうこう
望み	のぞみ
望む	のぞむ
防ぐ	ふせぐ
本物	ほんもの
満足	まんぞく
無し	なし
無事	ぶじ
無料	むりょう
命	いのち
命じる	めいじる
明ける	あける
明らか	あきらか
明確	めいかく
迷う	まよう
鳴らす	ならす
木曜	もくよう
目指す	めざす
目的	もくてき
夜明け	よあけ
役	やく
友情	ゆうじょう
有能	ゆうのう
昨夜	さくや
予期	よき
予算	よさん
様子	ようす
陽気	ようき
理想	りそう
流す	ながす
流れ	ながれ
流れる	ながれる
流行る	はやる
留学	りゅうがく
量	りょう
例外	れいがい
列	れつ
列車	れっしゃ
話し合う	はなしあう
商人	しょうにん
乗客	じょうきゃく
数	すう
全国	ぜんこく
他人	たにん
谷	たに
毎月	まいつき
明後日	みょうごにち
面	めん
流行	りゅうこう
例	れい
明かり	あかり
暗記	あんき
科目	かもく
協力	きょうりょく
幸運	こううん
幸せ	しあわせ
